title,genre,platform,developer,publisher,fn_userscore_type,fn_userscore,fn_metascore_type,fn_metascore
Sable,"General, Action Adventure, Open-World",PC,Shed-Works,Raw Fury,Generally favorable reviews,7.6,Generally favorable reviews,76
GTFO,"Action, Shooter, First-Person, Tactical",PC,10 Chambers Collective,10 Chambers Collective,Generally favorable reviews,7.7,No score yet,nan
Against the Storm,"Strategy, General, Management, Government",PC,Eremite Games,Eremite Games,Generally favorable reviews,7.7,No score yet,nan
Unsighted,"Role-Playing, Action RPG",PC,Studio Pixel Punk,Studio Pixel Punk,Generally favorable reviews,7.7,Generally favorable reviews,84
The Last Stand: Aftermath,"Action, Action Adventure, Shooter, Linear, Shoot-'Em-Up, Top-Down",PC,Con Artist Games,Armor Games,Generally favorable reviews,7.7,Mixed or average reviews,74
Hourglass,"Adventure, General",PC,Cyberwave,Cyberwave,Generally favorable reviews,7.7,No score yet,nan
Alan Wake Remastered,"Action Adventure, Survival",PC,Remedy Entertainment,Epic Games,Generally favorable reviews,7.7,Generally favorable reviews,79
Unpacking,"Puzzle, Action, General",PC,Witch Beam,Witch Beam,Generally favorable reviews,7.8,Generally favorable reviews,83
Ruined King: A League of Legends Story,"Role-Playing, General",PC,Airship Syndicate Entertainment,Riot Forge,Generally favorable reviews,7.8,Generally favorable reviews,82
Archvale,"Action, Shooter, Shoot-'Em-Up, Top-Down",PC,idoz & phops,Humble Games,Generally favorable reviews,7.8,Generally favorable reviews,84
Age of Empires IV,"Strategy, Real-Time, Command",PC,Relic,Microsoft Game Studios,Generally favorable reviews,7.9,Generally favorable reviews,81
The Dark Pictures Anthology: House of Ashes,"Action Adventure, Survival",PC,Supermassive Games,Bandai Namco Games,Generally favorable reviews,7.9,Mixed or average reviews,73
Shadow Tactics: Blades of the Shogun - Aiko's Choice,"Strategy, Real-Time, Tactics",PC,Mimimi Productions,Daedalic Entertainment,Generally favorable reviews,7.9,Generally favorable reviews,83
Kena: Bridge of Spirits,"Action Adventure, General, Open-World",PC,Emberlab,Emberlab,Generally favorable reviews,7.9,Generally favorable reviews,83
Century: Age of Ashes,"Simulation, Flight, Combat",PC,Playwing,Playwing,Generally favorable reviews,8.0,No score yet,nan
Crysis 2 Remastered,"Action, Shooter, First-Person, Arcade",PC,Crytek,Crytek,Generally favorable reviews,8.0,No score yet,nan
SUCCUBUS,"Action, Action Adventure, General, Shooter, First-Person, Arcade",PC,Madmind Studio,Madmind Studio,Generally favorable reviews,8.0,No score yet,nan
In Sound Mind,"Adventure, 3D, First-Person",PC,We Create Stuff,Modus Games,Generally favorable reviews,8.0,Generally favorable reviews,75
Loop Hero,"Role-Playing, General",Switch,Four Quarters,Devolver Digital,Generally favorable reviews,8.0,Generally favorable reviews,83
The Binding of Isaac: Repentance,"Action, Shooter, Shoot-'Em-Up, Top-Down",Switch,Nicalis,Nicalis,Generally favorable reviews,8.0,No score yet,nan
Melty Blood: Type Lumina,"Action, Fighting, 2D",Switch,French-Bread,DELiGHTWORKS,Generally favorable reviews,8.1,No score yet,nan
Cruis'n Blast,"Racing, Arcade, Automobile",Switch,Raw Thrills,GameMill Entertainment,Generally favorable reviews,8.1,Mixed or average reviews,71
Tails of Iron,"Role-Playing, Action RPG",Switch,Odd Bug Studio,CI Games,Generally favorable reviews,8.1,Generally favorable reviews,80
Voice of Cards: The Isle Dragon Roars,"Strategy, Turn-Based, Card Battle",Switch,Square Enix,Square Enix,Generally favorable reviews,8.1,Generally favorable reviews,77
Flynn: Son of Crimson,"Action, Platformer, 2D",Switch,Studio Thunderhorse,Humble Games,Generally favorable reviews,8.1,No score yet,nan
Fatal Frame: Maiden of Black Water,"Action Adventure, Survival",Switch,Koei Tecmo Games,Koei Tecmo Games,Generally favorable reviews,8.2,Mixed or average reviews,73
Death's Gambit: Afterlife,"Role-Playing, Action RPG",Switch,White Rabbit Interactive,Serenity Forge,Generally favorable reviews,8.2,Generally favorable reviews,77
Undernauts: Labyrinth of Yomi,"Role-Playing, General",Switch,Experience Inc.,Aksys Games,Generally favorable reviews,8.2,Generally favorable reviews,85
Pokemon Brilliant Diamond / Pokemon Shining Pearl Double Pack,"Role-Playing, Trainer",Switch,"ILCA, Inc.",Nintendo,Generally favorable reviews,8.2,No score yet,nan
The Legend of Tian Ding,"Action, Platformer, Beat-'Em-Up, 2D",Switch,Neon Doctrine,Creative Games Computer Graphics Corporation,Generally favorable reviews,8.3,Generally favorable reviews,81
World War Z,"Action, Shooter, First-Person, Third-Person, Tactical",Switch,Saber Interactive,Saber Interactive,Generally favorable reviews,8.3,Mixed or average reviews,67
Dragon Ball Z: Kakarot + A New Power Awakens Set,"Role-Playing, Action RPG",Switch,CyberConnect2,Bandai Namco Games,Generally favorable reviews,8.3,Generally favorable reviews,78
UnMetal,"Action Adventure, General",Switch,@unepic_fran,Versus Evil,Generally favorable reviews,8.3,No score yet,nan
My Friend Peppa Pig,"Adventure, General",Switch,PETOONS STUDIO SL,Outright Games,Generally favorable reviews,8.3,No score yet,nan
Ghosts and Apples,"General, Puzzle",Switch,Rough Cyber Humans,7 Raven Studios,Generally favorable reviews,8.3,No score yet,nan
Tetris Effect: Connected,"Puzzle, Stacking",Switch,Monstars Inc.,Enhance Games,Generally favorable reviews,8.3,Universal acclaim,95
Blue Reflection: Second Light,"Role-Playing, Japanese-Style",Switch,Gust,Koei Tecmo Games,Generally favorable reviews,8.3,Generally favorable reviews,76
Ni no Kuni II: Revenant Kingdom - Prince's Edition,"Role-Playing, Japanese-Style",Switch,Level 5,Bandai Namco Games,Generally favorable reviews,8.4,Generally favorable reviews,80
Dying Light: Platinum Edition,"Action Adventure, Survival",Switch,Techland,Techland,Generally favorable reviews,8.4,Generally favorable reviews,78
Castlevania Advance Collection,"Miscellaneous, Compilation",Switch,Konami,Konami,Generally favorable reviews,8.4,Generally favorable reviews,83
Darksiders III,"Action Adventure, Open-World",Switch,Gunfire Games,THQ Nordic,Generally favorable reviews,8.4,Mixed or average reviews,59
Danganronpa S: Ultimate Summer Camp,"Miscellaneous, Party / Minigame",Switch,Spike Chunsoft,Spike Chunsoft,Generally favorable reviews,8.5,Mixed or average reviews,57
Mario Party Superstars,"Miscellaneous, Party / Minigame",Switch,Nintendo,Nintendo,Generally favorable reviews,8.5,Generally favorable reviews,79
Deltarune: Chapter 1 & 2,"Role-Playing, Japanese-Style",Switch,tobyfox,tobyfox,Generally favorable reviews,8.5,No score yet,nan
Joojee's Journey,"Adventure, General",Switch,Quantum Peaks,DigiPen Game Studios,Generally favorable reviews,8.7,No score yet,nan
The Legend of Tianding,"Platformer, Action, Beat-'Em-Up, 2D",PC,Neon Doctrine,Creative Games Computer Graphics Corporation,Generally favorable reviews,8.2,Generally favorable reviews,84
Hot Wheels Unleashed,"Racing, Arcade, Automobile",PC,Milestone S.r.l,Milestone S.r.l,Generally favorable reviews,8.2,Generally favorable reviews,78
Insomnis,"Adventure, 3D, First-Person",PC,Path Games,Gammera Nest,Generally favorable reviews,8.2,No score yet,nan
Blue Reflection: Second Light,"Role-Playing, Japanese-Style",PC,Gust,Koei Tecmo Games,Generally favorable reviews,8.2,Generally favorable reviews,76
One Pixel TWB,"Action, Platformer, 2D",PC,ireero,LineArt Games,Generally favorable reviews,8.3,No score yet,nan
Grow: Song of the Evertree,"Action Adventure, Sandbox",PC,Prideful Sloth,505 Games,Generally favorable reviews,8.3,Generally favorable reviews,79
SUPER CHICKEN JUMPER,"Adventure, General, Action, Platformer, 2D",PC,Sewer Cat,Sewer Cat,Generally favorable reviews,8.3,No score yet,nan
MADNESS: Project Nexus,"Action, Beat-'Em-Up, 3D",PC,"GIBBING TREE, LLC","GIBBING TREE, LLC",Generally favorable reviews,8.3,No score yet,nan
A Juggler's Tale,"Adventure, General",PC,Kaleidoscube,Mixtvision,Generally favorable reviews,8.4,Generally favorable reviews,76
Rainbow Billy: The Curse of the Leviathan,"Action, Action Adventure, General, Platformer, 2D",PC,ManaVoid Entertainment Inc.,ManaVoid Entertainment Inc.,Generally favorable reviews,8.4,Generally favorable reviews,82
Lone Echo II,"Action Adventure, General",PC,Ready at Dawn,Oculus Studios,Generally favorable reviews,8.4,Generally favorable reviews,78
Let's Build a Zoo,"Strategy, Management, Business / Tycoon",PC,Springloaded,No More Robots,Generally favorable reviews,8.4,Generally favorable reviews,78
Crab Game,"Action, Miscellaneous, General, Party / Minigame",PC,Dani,Dani,Generally favorable reviews,8.4,No score yet,nan
Tails of Iron,"Role-Playing, Action RPG",PC,Odd Bug Studio,United Label,Generally favorable reviews,8.4,Generally favorable reviews,80
Outer Wilds: Echoes of the Eye,"Action Adventure, Open-World",PC,"Mobius Digital, LLC",Annapurna Interactive,Generally favorable reviews,8.5,Generally favorable reviews,83
Impostor Factory,"Adventure, General",PC,Freebird Games,Freebird Games,Generally favorable reviews,8.5,Generally favorable reviews,80
Aeon Drive,"Action, Platformer, 2D",PC,2Awesome Studio,2Awesome Studio,Generally favorable reviews,8.5,Generally favorable reviews,77
Marvel's Guardians of the Galaxy,"Role-Playing, Action Adventure, Action RPG, Linear",PC,Eidos Montreal,Square Enix,Generally favorable reviews,8.5,Generally favorable reviews,78
Destiny's Plan,"Adventure, General, Visual Novel",PC,Carel,Carel,Generally favorable reviews,8.5,No score yet,nan
The Riftbreaker,"Role-Playing, Action RPG",PC,EXOR Studios,EXOR Studios,Generally favorable reviews,8.6,Generally favorable reviews,83
Resident Evil 4 VR (Oculus Quest 2),"Action Adventure, Survival",PC,Armature Studio,Capcom,Generally favorable reviews,8.6,Generally favorable reviews,85
Gazmatera 2 America's Least Wanted,"Action, Third-Person, Shooter, Arcade",PC,Katapult (Digital),Katapult (Digital),Generally favorable reviews,8.6,No score yet,nan
The Eternal Cylinder,"Action Adventure, Open-World",PC,ACE Team,Good Shepherd Entertainment,Generally favorable reviews,8.6,Generally favorable reviews,83
Pronty: Fishy Adventure,"Action, Platformer, 2D",PC,18Light Game Ltd.,18Light Game Ltd.,Generally favorable reviews,8.6,No score yet,nan
Star Shift Origins,"Role-Playing, Strategy, General, Japanese-Style",PC,Psychronic Game Studios,Psychronic Game Studios,Generally favorable reviews,8.7,No score yet,nan
Deltarune: Chapter 2,"Role-Playing, Japanese-Style",PC,tobyfox,tobyfox,Generally favorable reviews,8.7,No score yet,nan
WorldBox - God Simulator,"Strategy, Action Adventure, Management, Sandbox, Government",PC,Maxim Karpenko,Maxim Karpenko,Generally favorable reviews,8.8,No score yet,nan
Melty Blood: Type Lumina,"Action, Fighting, 2D",PC,French-Bread,DELiGHTWORKS,Generally favorable reviews,8.8,No score yet,nan
Kid A MNESIA Exhibition,"Adventure, 3D, First-Person",PC,namethemachine,Epic Games,Generally favorable reviews,8.8,No score yet,nan
After the Fall,"Action, Shooter, First-Person, Arcade",PC,Vertigo Games,Vertigo Games,Generally favorable reviews,8.8,No score yet,nan
My Friend Peppa Pig,"Adventure, General",PC,PETOONS STUDIO SL,Outright Games,Generally favorable reviews,8.9,No score yet,nan
eFootball 2022,"Sports, Team, Soccer, Sim",Xbox Series X,Konami,Konami,Overwhelming dislike,0.6,No score yet,nan
Grand Theft Auto: The Trilogy - The Definitive Edition,"Miscellaneous, Compilation",Xbox Series X,Rockstar Games,Rockstar Games,Overwhelming dislike,0.7,Mixed or average reviews,56
Disciples: Liberation,"Strategy, Turn-Based, General",Xbox Series X,Frima Studio,Kalypso,Generally unfavorable reviews,2.2,No score yet,nan
Battlefield 2042,"Action, Shooter, First-Person, Tactical",Xbox Series X,EA DICE,Electronic Arts,Generally unfavorable reviews,2.3,Mixed or average reviews,64
Monster Rancher 1 & 2 DX,"Miscellaneous, Compilation",PC,Koei Tecmo Games,Koei Tecmo Games,Generally favorable reviews,8.8,Mixed or average reviews,59
TOEM,"Adventure, General",PC,Something We Made,Something We Made,Generally favorable reviews,8.8,Generally favorable reviews,79
Inscryption,"Strategy, Turn-Based, Card Battle",PC,Daniel Mullins Games,Devolver Digital,Generally favorable reviews,8.9,Generally favorable reviews,85
Death's Door,"Action Adventure, General",Switch,Acid Nerve,Devolver Digital,Generally favorable reviews,8.5,Generally favorable reviews,88
DUSK,"Action, Shooter, First-Person, Arcade",Switch,New Blood Interactive,New Blood Interactive,Generally favorable reviews,8.6,Generally favorable reviews,88
Hoa,"Action, Platformer, 2D",Switch,Skrollcat Studios,PM Studios Inc.,Generally favorable reviews,8.6,Mixed or average reviews,69
Metroid Dread,"Action Adventure, Open-World",Switch,Mercury Steam,Nintendo,Generally favorable reviews,8.7,Generally favorable reviews,88
Disco Elysium: The Final Cut,"Role-Playing, General",Switch,ZA/UM,ZA/UM,Generally favorable reviews,8.8,Generally favorable reviews,85
Unsighted,"Role-Playing, Action RPG",Xbox One,Studio Pixel Punk,Humble Games,Mixed or average reviews,7.3,Generally favorable reviews,87
Unpacking,"Puzzle, Action, General",Xbox One,Witch Beam,Humble Games,Mixed or average reviews,7.4,Generally favorable reviews,81
Chernobylite,"Action Adventure, Survival",Xbox One,The Farm 51,All in! Games,Generally favorable reviews,7.8,Generally favorable reviews,82
Insurgency: Sandstorm,"Strategy, General",Xbox One,New World Interactive,Focus Home Interactive,Generally favorable reviews,8.2,Generally favorable reviews,82
Jurassic World Evolution 2,"Strategy, Management, Business / Tycoon",Xbox One,Frontier Developments,Frontier Developments,Generally favorable reviews,8.7,Generally favorable reviews,81
The Dark Pictures Anthology: House of Ashes,"Action Adventure, Survival",PlayStation 5,Supermassive Games,Bandai Namco Games,Generally favorable reviews,7.7,Mixed or average reviews,72
Alan Wake Remastered,"Action Adventure, Survival",PlayStation 5,Remedy Entertainment,Epic Games,Generally favorable reviews,7.7,Generally favorable reviews,79
Kena: Bridge of Spirits,"Open-World, Action Adventure, General",PlayStation 5,Emberlab,Emberlab,Generally favorable reviews,8.5,Generally favorable reviews,80
Lost Judgment,"Action Adventure, Open-World",PlayStation 5,SegaSoft,SegaSoft,Generally favorable reviews,8.7,Generally favorable reviews,82
FIFA 22,"Sports, Team, Soccer, Sim",Xbox Series X,EA Canada,Electronic Arts,Generally unfavorable reviews,2.6,Generally favorable reviews,78
Phoenix Point: Behemoth Edition,"Strategy, Turn-Based, Tactics",Xbox Series X,Snapshot Games Inc.,Koch Media,Generally unfavorable reviews,2.9,No score yet,nan
The Elder Scrolls V: Skyrim Anniversary Edition,"Role-Playing, Western-Style",Xbox Series X,Bethesda Game Studios,Bethesda Softworks,Generally unfavorable reviews,3.1,Generally favorable reviews,82
Diablo II: Resurrected,"Role-Playing, Action RPG",Xbox Series X,Blizzard Entertainment,Activision,Generally unfavorable reviews,3.4,Generally favorable reviews,80
Life is Strange: True Colors - Wavelengths,"Action Adventure, General",Xbox Series X,Deck Nine Games,Square Enix,Generally unfavorable reviews,4.5,No score yet,nan
Aragami 2,"Action Adventure, General",Xbox Series X,Lince Works,Merge Games,Mixed or average reviews,5.0,Mixed or average reviews,74
Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,"Action, Fighting, 3D",Xbox Series X,CyberConnect2,Sega,Mixed or average reviews,5.2,Generally favorable reviews,82
I Am Fish,"Action, General, Platformer, 3D",Xbox Series X,Bossa Studios,Curve Digital,Mixed or average reviews,5.6,Mixed or average reviews,68
Lemnis Gate,"Action, Shooter, First-Person, Arcade",Xbox Series X,Ratloop Games Canada,Frontier Foundry,Generally unfavorable reviews,4.0,Generally favorable reviews,78
NHL 22,"Sports, Team, Ice Hockey, Sim",Xbox Series X,Electronic Arts,Electronic Arts,Generally unfavorable reviews,4.3,Mixed or average reviews,74
Far Cry 6,"Action Adventure, Open-World",Xbox Series X,Ubisoft Toronto,Ubisoft,Generally unfavorable reviews,4.7,Generally favorable reviews,80
Call of Duty: Vanguard,"Action, Shooter, First-Person, Tactical",Xbox Series X,Sledgehammer Games,Activision,Generally unfavorable reviews,4.8,Mixed or average reviews,74
Sherlock Holmes: Chapter One,"Action Adventure, Adventure, General, Open-World",Xbox Series X,Frogwares,Frogwares,Mixed or average reviews,6.9,Mixed or average reviews,74
Riders Republic,"Sports, Individual, Other",Xbox Series X,Ubisoft,Ubisoft,Mixed or average reviews,5.8,Generally favorable reviews,79
Exo One,"Simulation, Adventure, General, Space, Civilian",Xbox Series X,Exbleative,Future Friends Games,Mixed or average reviews,6.9,Generally favorable reviews,78
Fatal Frame: Maiden of Black Water,"Action Adventure, Survival",Xbox Series X,Koei Tecmo Games,Koei Tecmo Games,Mixed or average reviews,7.1,Mixed or average reviews,60
Sable,"Action, General, Action Adventure, Open-World",Xbox Series X,Shed-Works,Raw Fury,Mixed or average reviews,6.4,Mixed or average reviews,71
Jurassic World Evolution 2,"Strategy, Management, Business / Tycoon",Xbox Series X,Frontier Developments,Frontier Developments,Mixed or average reviews,6.7,Mixed or average reviews,74
