title,genre,platform,developer,publisher,fn_userscore_type,fn_userscore,fn_metascore_type,fn_metascore
Riders Republic,"Sports, Individual, Other",PlayStation 4,Ubisoft,Ubisoft,Mixed or average reviews,5.5,No score yet,nan
The Good Life,"Role-Playing, General",PlayStation 4,White Owls,Playism,Mixed or average reviews,5.7,Mixed or average reviews,60
The Caligula Effect 2,"Role-Playing, General",PlayStation 4,historia Inc,NIS America,Mixed or average reviews,5.8,Mixed or average reviews,64
Neptunia x Senran Kagura: Ninja Wars,"Role-Playing, Action RPG",PlayStation 4,Tamsoft,Idea Factory,Mixed or average reviews,5.8,Mixed or average reviews,67
Insurgency: Sandstorm,"Strategy, General",PlayStation 4,New World Interactive,Focus Home Interactive,Mixed or average reviews,6.0,Generally favorable reviews,78
NASCAR 21: Ignition,"Racing, Simulation, Automobile",PlayStation 4,Motorsport Games,Motorsport Games,Mixed or average reviews,6.1,Mixed or average reviews,53
Ruined King: A League of Legends Story,"Role-Playing, General",PlayStation 4,Airship Syndicate Entertainment,Riot Forge,Mixed or average reviews,6.3,Generally favorable reviews,76
Unsighted,"Role-Playing, Action RPG",PlayStation 4,Studio Pixel Punk,Humble Games,Mixed or average reviews,6.3,No score yet,nan
Flynn: Son of Crimson,"Action, Platformer, 2D",PlayStation 4,Studio Thunderhorse,Humble Games,Mixed or average reviews,6.9,Generally favorable reviews,85
Xuan-Yuan Sword 7,"Role-Playing, Action RPG",PlayStation 4,SOFTSTAR Entertainment,EastAsiaSoft,Mixed or average reviews,7.0,Mixed or average reviews,71
A Short Hike,"Adventure, General",PlayStation 4,Whippoorwill Limited,Whippoorwill Limited,Mixed or average reviews,7.0,Generally favorable reviews,84
Fatal Frame: Maiden of Black Water,"Action Adventure, Survival",PlayStation 4,Koei Tecmo Games,Koei Tecmo Games,Mixed or average reviews,7.1,Mixed or average reviews,71
Insomnis,"Adventure, 3D, First-Person",PlayStation 4,Path Games,Gammera Nest,Mixed or average reviews,7.1,No score yet,nan
Phoenix Point: Behemoth Edition,"Strategy, Turn-Based, Tactics",PlayStation 4,Snapshot Games Inc.,Deep Silver,Mixed or average reviews,7.2,Mixed or average reviews,72
Outer Wilds: Echoes of the Eye,"Action Adventure, Open-World",PlayStation 4,"Mobius Digital, LLC",Annapurna Interactive,Mixed or average reviews,7.2,No score yet,nan
UnMetal,"Action Adventure, General",PlayStation 4,@unepic_fran,Versus Evil,Mixed or average reviews,7.2,No score yet,nan
The Dark Pictures Anthology: House of Ashes,"Action Adventure, Survival",PlayStation 4,Supermassive Games,Bandai Namco Games,Mixed or average reviews,7.3,Mixed or average reviews,74
Tails of Iron,"Role-Playing, Action RPG",PlayStation 4,Odd Bug Studio,CI Games,Mixed or average reviews,7.3,No score yet,nan
Super Monkey Ball: Banana Mania,"Miscellaneous, Compilation",PlayStation 4,Sega,Sega,Mixed or average reviews,7.3,Generally favorable reviews,78
Voice of Cards: The Isle Dragon Roars,"Strategy, Turn-Based, Card Battle",PlayStation 4,A-lim,Square Enix,Generally favorable reviews,7.6,Generally favorable reviews,75
Deltarune: Chapter 1 & 2,"Role-Playing, Japanese-Style",PlayStation 4,tobyfox,tobyfox,Generally favorable reviews,7.6,No score yet,nan
Lost Judgment,"Action Adventure, Open-World",PlayStation 4,Sega,Sega,Generally favorable reviews,7.6,Generally favorable reviews,83
Kena: Bridge of Spirits,"Action Adventure, General",PlayStation 4,Emberlab,Emberlab,Generally favorable reviews,7.7,Generally favorable reviews,78
The Binding of Isaac: Repentance,"Action, Shooter, Shoot-'Em-Up, Top-Down",PlayStation 4,Nicalis,Nicalis,Generally favorable reviews,7.8,No score yet,nan
Marvel's Guardians of the Galaxy,"Role-Playing, Action RPG, Action Adventure, Linear",PlayStation 4,Eidos Montreal,Square Enix,Generally favorable reviews,8.0,No score yet,nan
Alan Wake Remastered,"Action Adventure, Survival",PlayStation 4,Remedy Entertainment,Epic Games,Generally favorable reviews,8.3,No score yet,nan
BPM: Bullets Per Minute,"Action, Rhythm, Music",PlayStation 4,Awe Interactive,Playtonic Friends,Generally favorable reviews,8.5,Generally favorable reviews,80
Death's Door,"Action Adventure, General",PlayStation 4,Acid Nerve,Devolver Digital,Generally favorable reviews,8.5,No score yet,nan
My Friend Peppa Pig,"Adventure, General",PlayStation 4,PETOONS STUDIO SL,Outright Games,Generally favorable reviews,8.7,No score yet,nan
Final Fantasy XIV: Endwalker,"Role-Playing, Massively Multiplayer",PlayStation 4,Square Enix,Square Enix,Universal acclaim,9.6,No score yet,nan
